,0
0,knock
1,bowling
2,swipt_right
3,pickup_throw
4,tennis_serve
5,swipt_right
6,draw_circle_cw
7,tennis_swing
8,tennis_serve
9,catch
10,swipt_right
11,tennis_swing
12,tennis_serve
13,swipt_left
14,catch
15,push
16,swipt_right
17,tennis_serve
18,tennis_serve
19,baseball_swing
20,arm_cross
21,wave
22,tennis_swing
23,basketball_shoot
24,catch
25,tennis_serve
26,catch
27,tennis_swing
28,baseball_swing
29,pickup_throw
30,draw_circle_ccw
31,throw
32,catch
33,catch
34,knock
35,swipt_left
36,tennis_serve
37,draw_circle_cw
38,throw
39,catch
40,tennis_swing
41,draw_circle_ccw
42,arm_curl
43,arm_curl
44,bowling
45,arm_cross
46,knock
47,push
48,wave
49,draw_circle_ccw
50,tennis_serve
51,catch
52,throw
53,throw
54,knock
55,catch
56,catch
57,knock
58,push
59,pickup_throw
60,catch
61,basketball_shoot
62,catch
63,knock
64,push
65,tennis_serve
66,basketball_shoot
67,push
68,throw
69,draw_x
70,tennis_swing
71,bowling
72,throw
73,catch
74,tennis_serve
75,tennis_serve
76,push
77,catch
78,draw_circle_cw
79,tennis_serve
80,swipt_right
81,knock
82,swipt_right
83,tennis_serve
84,tennis_swing
85,wave
86,tennis_serve
87,draw_x
88,baseball_swing
89,tennis_serve
90,swipt_left
91,tennis_serve
92,swipt_right
93,tennis_swing
94,throw
95,tennis_serve
96,tennis_serve
97,basketball_shoot
98,catch
99,knock
100,swipt_right
101,catch
102,draw_x
103,knock
104,baseball_swing
105,catch
106,swipt_right
107,throw
108,tennis_swing
109,tennis_serve
110,tennis_serve
111,throw
112,push
113,knock
114,push
115,draw_circle_ccw
116,arm_curl
117,pickup_throw
118,swipt_left
119,catch
120,tennis_swing
121,pickup_throw
122,tennis_serve
123,tennis_serve
124,push
125,basketball_shoot
126,tennis_serve
127,draw_triangle
128,arm_curl
129,catch
130,catch
131,catch
132,draw_x
133,tennis_serve
134,swipt_right
135,arm_curl
136,tennis_serve
137,clap
138,draw_triangle
139,wave
140,draw_circle_cw
141,arm_cross
142,tennis_swing
143,catch
144,draw_circle_cw
145,catch
146,push
147,push
148,catch
149,catch
150,catch
151,clap
152,draw_circle_ccw
153,swipt_right
154,swipt_left
155,catch
156,throw
157,draw_circle_ccw
158,catch
159,draw_x
160,draw_circle_ccw
161,draw_x
162,catch
163,tennis_serve
164,catch
165,tennis_serve
166,knock
167,catch
