,0
0,baseball_swing
1,wave
2,draw_x
3,draw_circle_cw
4,boxing
5,draw_circle_cw
6,baseball_swing
7,wave
8,wave
9,draw_x
10,clap
11,draw_triangle
12,draw_x
13,bowling
14,throw
15,draw_x
16,arm_cross
17,draw_circle_ccw
18,swipt_left
19,tennis_swing
20,bowling
21,boxing
22,arm_cross
23,wave
24,tennis_swing
25,boxing
26,draw_triangle
27,arm_cross
28,swipt_left
29,throw
30,baseball_swing
31,wave
32,draw_x
33,swipt_right
34,draw_circle_ccw
35,draw_circle_cw
36,boxing
37,clap
38,baseball_swing
39,clap
40,draw_circle_cw
41,boxing
42,draw_x
43,arm_cross
44,draw_circle_ccw
45,tennis_swing
46,draw_x
47,throw
48,throw
49,arm_cross
50,draw_circle_cw
51,throw
52,basketball_shoot
53,swipt_left
54,draw_circle_ccw
55,basketball_shoot
56,boxing
57,swipt_right
58,bowling
59,tennis_swing
60,draw_circle_ccw
61,clap
62,baseball_swing
63,bowling
64,wave
65,throw
66,bowling
67,draw_x
68,bowling
69,wave
70,boxing
71,baseball_swing
72,arm_cross
73,basketball_shoot
74,bowling
75,draw_circle_cw
76,draw_circle_cw
77,boxing
78,throw
79,draw_circle_ccw
80,baseball_swing
81,arm_cross
82,draw_circle_ccw
83,draw_circle_ccw
84,clap
85,draw_circle_ccw
86,draw_circle_ccw
87,clap
88,draw_circle_cw
89,bowling
90,bowling
91,baseball_swing
92,baseball_swing
93,wave
94,boxing
95,baseball_swing
96,wave
97,draw_circle_ccw
98,throw
99,draw_x
100,draw_triangle
101,draw_x
102,draw_circle_ccw
103,basketball_shoot
104,throw
105,draw_circle_cw
106,arm_cross
107,boxing
108,baseball_swing
109,baseball_swing
110,bowling
111,swipt_right
112,baseball_swing
113,throw
114,tennis_swing
115,draw_circle_ccw
116,tennis_swing
117,tennis_swing
118,swipt_right
119,draw_triangle
