,0
0,tennis_swing
1,draw_circle_cw
2,swipt_left
3,wave
4,boxing
5,swipt_left
6,baseball_swing
7,draw_x
8,swipt_right
9,swipt_right
10,clap
11,draw_circle_ccw
12,draw_triangle
13,bowling
14,throw
15,draw_x
16,arm_cross
17,draw_circle_ccw
18,swipt_left
19,tennis_swing
20,bowling
21,boxing
22,arm_cross
23,swipt_right
24,tennis_swing
25,boxing
26,wave
27,arm_cross
28,swipt_left
29,basketball_shoot
30,baseball_swing
31,wave
32,swipt_left
33,wave
34,draw_circle_ccw
35,draw_circle_ccw
36,boxing
37,arm_cross
38,baseball_swing
39,clap
40,boxing
41,boxing
42,draw_x
43,arm_cross
44,draw_triangle
45,tennis_swing
46,draw_x
47,draw_x
48,throw
49,arm_cross
50,wave
51,throw
52,basketball_shoot
53,swipt_left
54,wave
55,basketball_shoot
56,boxing
57,swipt_right
58,bowling
59,tennis_swing
60,swipt_right
61,clap
62,baseball_swing
63,tennis_swing
64,draw_circle_cw
65,baseball_swing
66,bowling
67,draw_triangle
68,bowling
69,wave
70,boxing
71,baseball_swing
72,clap
73,basketball_shoot
74,bowling
75,swipt_right
76,swipt_right
77,boxing
78,throw
79,draw_circle_ccw
80,baseball_swing
81,arm_cross
82,draw_triangle
83,draw_circle_ccw
84,boxing
85,draw_x
86,draw_triangle
87,clap
88,boxing
89,bowling
90,tennis_swing
91,baseball_swing
92,baseball_swing
93,swipt_left
94,boxing
95,baseball_swing
96,draw_circle_cw
97,draw_triangle
98,throw
99,draw_triangle
100,swipt_left
101,draw_triangle
102,swipt_left
103,basketball_shoot
104,throw
105,draw_circle_cw
106,arm_cross
107,boxing
108,baseball_swing
109,baseball_swing
110,bowling
111,wave
112,baseball_swing
113,throw
114,tennis_swing
115,draw_triangle
116,tennis_swing
117,tennis_swing
118,swipt_left
119,draw_circle_cw
