,0
0,draw_x
1,draw_circle_ccw
2,swipt_right
3,clap
4,draw_circle_cw
5,draw_circle_ccw
6,clap
7,swipt_right
8,arm_cross
9,draw_circle_ccw
10,arm_cross
11,clap
12,draw_circle_ccw
13,throw
14,throw
15,arm_cross
16,draw_circle_ccw
17,basketball_shoot
18,arm_cross
19,draw_circle_cw
20,draw_circle_ccw
21,basketball_shoot
22,basketball_shoot
23,draw_circle_ccw
24,basketball_shoot
25,draw_circle_ccw
26,throw
27,draw_circle_ccw
28,draw_circle_cw
29,basketball_shoot
30,draw_circle_cw
31,throw
32,swipt_left
33,swipt_left
34,swipt_right
35,basketball_shoot
36,swipt_right
37,throw
38,basketball_shoot
39,draw_x
40,draw_circle_ccw
41,swipt_right
42,draw_circle_cw
43,wave
44,clap
45,draw_circle_cw
46,draw_circle_ccw
47,throw
48,draw_circle_ccw
49,draw_circle_cw
50,draw_circle_ccw
51,clap
52,throw
53,swipt_right
54,basketball_shoot
55,draw_circle_ccw
56,wave
57,clap
58,basketball_shoot
59,draw_x
60,draw_circle_ccw
61,swipt_right
62,draw_x
63,swipt_right
64,draw_circle_ccw
65,draw_circle_cw
66,draw_circle_ccw
67,draw_x
68,arm_cross
69,throw
70,draw_circle_ccw
71,draw_circle_ccw
72,draw_circle_ccw
73,arm_cross
74,wave
75,basketball_shoot
76,clap
77,draw_circle_ccw
78,draw_x
79,draw_x
