,0
0,arm_cross
1,bowling
2,swipt_right
3,pickup_throw
4,pickup_throw
5,swipt_right
6,draw_circle_cw
7,tennis_swing
8,tennis_serve
9,draw_circle_cw
10,swipt_right
11,push
12,tennis_swing
13,swipt_left
14,draw_triangle
15,push
16,swipt_right
17,tennis_swing
18,tennis_serve
19,baseball_swing
20,arm_cross
21,wave
22,arm_curl
23,basketball_shoot
24,draw_circle_ccw
25,tennis_serve
26,clap
27,push
28,baseball_swing
29,pickup_throw
30,draw_triangle
31,throw
32,catch
33,wave
34,knock
35,swipt_left
36,draw_x
37,draw_circle_cw
38,throw
39,draw_circle_ccw
40,draw_x
41,draw_x
42,pickup_throw
43,push
44,bowling
45,arm_cross
46,clap
47,tennis_serve
48,wave
49,draw_circle_ccw
50,tennis_swing
51,wave
52,arm_curl
53,arm_curl
54,tennis_serve
55,arm_curl
56,arm_cross
57,boxing
58,tennis_serve
59,pickup_throw
60,tennis_serve
61,tennis_serve
62,catch
63,draw_x
64,boxing
65,draw_x
66,basketball_shoot
67,push
68,draw_circle_ccw
69,draw_x
70,tennis_swing
71,bowling
72,swipt_right
73,basketball_shoot
74,throw
75,boxing
76,push
77,boxing
78,draw_circle_cw
79,bowling
80,swipt_right
81,arm_cross
82,swipt_right
83,tennis_serve
84,tennis_swing
85,throw
86,catch
87,draw_x
88,knock
89,arm_cross
90,swipt_left
91,tennis_serve
92,draw_circle_ccw
93,pickup_throw
94,basketball_shoot
95,tennis_serve
96,arm_curl
97,basketball_shoot
98,arm_cross
99,throw
100,draw_circle_ccw
101,knock
102,draw_x
103,draw_x
104,baseball_swing
105,draw_circle_cw
106,swipt_right
107,throw
108,swipt_left
109,basketball_shoot
110,draw_circle_cw
111,basketball_shoot
112,draw_x
113,push
114,push
115,draw_circle_ccw
116,arm_curl
117,pickup_throw
118,swipt_left
119,basketball_shoot
120,arm_cross
121,pickup_throw
122,baseball_swing
123,tennis_serve
124,clap
125,basketball_shoot
126,tennis_serve
127,draw_triangle
128,arm_cross
129,catch
130,arm_curl
131,catch
132,draw_x
133,baseball_swing
134,swipt_right
135,clap
136,pickup_throw
137,arm_cross
138,draw_triangle
139,wave
140,swipt_right
141,arm_cross
142,bowling
143,wave
144,draw_circle_cw
145,arm_curl
146,push
147,knock
148,arm_cross
149,basketball_shoot
150,basketball_shoot
151,clap
152,draw_triangle
153,draw_circle_cw
154,draw_circle_ccw
155,draw_x
156,throw
157,push
158,push
159,draw_circle_ccw
160,draw_circle_ccw
161,draw_x
162,throw
163,boxing
164,swipt_right
165,arm_curl
166,boxing
167,baseball_swing
