,0
0,tennis_swing
1,tennis_serve
2,knock
3,throw
4,tennis_swing
5,walk
6,tennis_serve
7,draw_triangle
8,jog
9,arm_cross
10,tennis_swing
11,wave
12,throw
13,knock
14,draw_triangle
15,draw_triangle
16,pickup_throw
17,catch
18,tennis_serve
19,tennis_serve
20,jog
21,swipt_right
22,catch
23,tennis_serve
24,wave
25,tennis_swing
26,catch
27,throw
28,swipt_left
29,tennis_swing
30,pickup_throw
31,tennis_swing
32,tennis_serve
33,catch
34,tennis_swing
35,tennis_serve
36,catch
37,catch
38,draw_x
39,bowling
40,draw_circle_ccw
41,tennis_serve
42,tennis_serve
43,knock
44,walk
45,tennis_swing
46,throw
47,sit2stand
48,tennis_swing
49,tennis_swing
50,tennis_serve
51,draw_circle_ccw
52,catch
53,wave
54,catch
55,throw
56,push
57,wave
58,catch
59,wave
60,pickup_throw
61,arm_curl
62,tennis_swing
63,draw_circle_ccw
64,draw_circle_ccw
65,knock
66,push
67,wave
68,arm_curl
69,draw_triangle
70,wave
71,pickup_throw
72,knock
73,tennis_swing
74,catch
75,swipt_right
76,pickup_throw
77,pickup_throw
78,catch
79,throw
80,draw_circle_ccw
81,basketball_shoot
82,tennis_serve
83,draw_circle_cw
84,tennis_swing
85,throw
86,arm_curl
87,swipt_right
88,catch
89,swipt_left
90,tennis_serve
91,throw
92,walk
93,tennis_serve
94,wave
95,swipt_left
96,throw
97,wave
98,catch
99,throw
100,push
101,swipt_right
102,arm_cross
103,catch
104,swipt_right
105,draw_x
106,tennis_serve
107,tennis_serve
108,knock
109,stand2sit
110,draw_circle_cw
111,tennis_serve
112,walk
113,catch
114,knock
115,catch
116,baseball_swing
117,draw_circle_cw
118,lunge
119,tennis_serve
120,draw_circle_ccw
121,swipt_left
122,tennis_swing
123,tennis_serve
124,throw
125,catch
126,clap
127,tennis_serve
128,baseball_swing
129,knock
130,pickup_throw
131,tennis_serve
132,tennis_serve
133,swipt_left
134,draw_circle_cw
135,lunge
136,tennis_serve
137,draw_circle_cw
138,jog
139,tennis_swing
140,tennis_swing
141,draw_triangle
142,pickup_throw
143,basketball_shoot
144,throw
145,arm_cross
146,sit2stand
147,tennis_serve
148,catch
149,tennis_serve
150,bowling
151,catch
152,arm_cross
153,lunge
154,arm_cross
155,wave
156,tennis_serve
157,knock
158,walk
159,clap
160,jog
161,swipt_right
162,push
163,throw
164,squat
165,knock
166,sit2stand
167,tennis_swing
168,arm_curl
169,sit2stand
170,arm_curl
171,draw_x
172,tennis_serve
173,baseball_swing
174,catch
175,pickup_throw
176,swipt_right
177,push
178,wave
179,squat
180,swipt_right
181,tennis_swing
182,jog
183,walk
184,tennis_serve
185,basketball_shoot
186,draw_triangle
187,knock
188,tennis_swing
189,push
190,swipt_right
191,squat
192,sit2stand
193,arm_curl
194,walk
195,jog
196,tennis_serve
197,baseball_swing
198,throw
199,draw_x
200,jog
201,tennis_serve
202,catch
203,bowling
204,pickup_throw
205,basketball_shoot
206,pickup_throw
207,tennis_swing
208,swipt_right
209,arm_cross
210,tennis_serve
211,tennis_serve
212,throw
213,throw
214,push
215,tennis_serve
